JobID	WindowID	Title	Description	Requirements	City	State	Country	Zip5	StartDate	EndDate
2121	1	MEDICAL- FRONT OFFICE	Medical -  Front Office\r\nIndustrial Clinic, Fully experienced, bilingual Spanish, with managerial opportunity. Culver City Area.  Only applicants with appropriate experiece need apply. \r\nCall 310-963-6173 or Fax#310-476-9456 or email:royamh@hotmail.com">royamh@hotmail.com</a> Los Angeles Times 2012-03-09 <BR><BR>Source - Los Angeles Times	Please refer to the Job Description to view the requirements for this job	Los Angeles	CA	US	90066	2012-03-09 18:07:59.063	2012-04-08 23:59:59
50183	1	IT Business Analyst	<p><b><span>Position: </span></b><span>Business Analyst </span></p>\r<p align="left"><b><span>Department: </span></b><span>Product Management </span></p>\r<p align="left">&nbsp;</p>\r<p>Our client, located in the Galleria area, provides software and services that enable its customers to better manage the financial and operational performance of their real estate portfolios. Purity Technology has a great opportunity for an experienced IT Business Analyst in Houston, Texas. Our client is seeking IT Business Analyst with strong interpersonal/client facing skills coupled with superior technical abilities.</p>\r<p align="left">&nbsp;</p>\r<p><strong> J<span>ob Responsibilities </span></strong></p>\r<p align="left"> <span>Elicit and capture software development requirements using the following techniques: </span></p>\r<ul>\r    <li><span>Using interviews </span></li>\r    <li><span>Document analysis </span></li>\r    <li><span>Requirements workshops </span></li>\r    <li><span>Surveys </span></li>\r    <li><span>Business process descriptions </span></li>\r    <li><span>Use cases </span></li>\r    <li><span>Workflow analysis. </span></li>\r    <li><span>Regularly meet with clients, prospects and other subject matter experts in understanding market needs and conditions. </span></li>\r    <li><span>Critically evaluate information gathered from multiple sources, decomposing into detailed information to create an affinity mapping of specific features and functionality </span></li>\r</ul>\r<p align="left">&nbsp;</p>\r<p><span>Document business processes and requirements using the following artifacts: </span></p>\r<ul>\r    <li><span>Roadmaps </span></li>\r    <li><span>Functional specifications </span></li>\r    <li><span>Use cases </span></li>\r    <li><span>Storyboards </span></li>\r</ul>\r<p align="left">&nbsp;</p>\r<p><span>Produce or edit detailed technical documentation to include the following:</span></p>\r<ul>\r    <li><span>Software Release Notes </span></li>\r    <li><span>Online help </span></li>\r    <li><span>Consistently liaison between product management and development ensuring application development according to functional specifications and customer needs throughout the SDLC and transition periods. </span></li>\r    <li><span>Build and collaborate with existing and new partners in developing synergies that mutually beneficial to us and our clients. </span></li>\r    <li><span>Interact professionally with a diverse group, executives, managers, and subject matter experts with excellent verbal and written communication.</span></li>\r</ul>\r<p align="left">&nbsp;</p>	<p> <span><strong>Knowledge / Skills Required </strong></span> </p>\r<p align="left">&nbsp;</p>\r<ul>\r    <li>A quick learner. This person will be expected to draw upon their experience and immediately plug into projects at any state. </li>\r    <li>Analytical skills in being able to break down complex business topics into a consumable form for both software developers and business analysts. </li>\r    <li>Expert organizational skills to work with a vast array of information and present in an organized manner at any time. </li>\r    <li>Expert listener and requirements gatherer. </li>\r    <li>Expert verbal, written and presentation skills. </li>\r    <li>Ability to thrive in a multifaceted environment and work on multiple tasks simultaneously. </li>\r    <li> <span>Ability to listen, facilitate and execute </span></li>\r</ul>	Houston	TX	US		2012-03-15 12:07:15.27	2012-04-14 23:59:59
180313	1	Administrative Assistant	Volt is currently looking for an experienced Administrative Assistant. This position will support operations by handling various administrative duties such as organizing meetings, preparing presentations, filing documents, communicating effectively, and multi-tasking. This position is full-time, Monday - Friday.\r\n\r\nVolt is an Equal Opportunity Employer, for more opportunities at Volt visit www.Volt.com	Qualified individuals will have 2-5 years of experience in an administrative role, with a broad knowledge of personal computer software in Word, Excel, Power Point, & Lotus notes preferred, office equipment, filing systems, scheduling, and correspondence.\r\n<p><strong>Location:</strong> San Diego, CA\r\n\r\n<strong>Type:</strong> CONTRACT\r\n\r\n<strong>Duration:</strong> 365+ Days\r\n\r\n<strong>Pay Rate:</strong> DOE\r\n\r\n<strong>Contact:</strong>\r\n\r\nVolt Technical Resources\r\nSanDiego023199@volt.com\r\nVolt Workforce Solutions\r\n7490 Opportunity Rd.  Ste. 303\r\nSan Diego, CA 92111\r\nPH: 858/279-5801\r\nFX: 858/560-9735	San Diego	CA	US	92123	2012-04-04 08:02:49.893	2012-05-03 23:59:59
283949	1	Call Center Representative	National third party call center is currently hiring Inbound Call Center Representatives. Client is seeking goal-oriented phone professionals who desire a stable full-time position with an exceptional, hands-on company. Representative duties include reviewing client accounts, updating information, resolving complaints, fielding calls and transferring as necessary, and escalating customer inquiries as needed.<br>	<p>Qualifications</p>\r<p>• Excellent phone skills and etiquette<br>\r• Friendly and professional demeanor<br>\r• Exceptional organizational skills<br>\r<br>\r</p>\r<p>Candidates with who have experience with advertising/marketing, time share, financial institution, customer service, retail sales and/or call center jobs excel in this position.<br>\r<br>\r</p>\r<p>Compensation and Benefits</p>\r<p>• Comprehensive paid training program<br>\r• Career advancement opportunities <br>\r• Medical, dental, paid vacation and a retirement plan<br>\r• Fistant	Volt is currently looking for an experienced Administrative Assistant. This position will support operations by handling various administrative duties such as organizing meetings, preparing presentations, filing documents, communicating effectively, and multi-tasking. This position is full-time, Monday - Friday.\r\n\r\nVolt is an Equal Opportunity Employer, for more opportunities at Volt visit www.Volt.com	Qualified individuals will have 2-5 years of experience in an administrative role, with a broad knowledge of personal computer software in Word, Excel, Power Point, & Lotus notes preferred, office equipment, filing systems, scheduling, and correspondence.\r\n<p><strong>Location:</strong> San Diego, CA\r\n\r\n<strong>Type:</strong> CONTRACT\r\n\r\n<strong>Duration:</strong> 365+ Days\r\n\r\n<strong>Pay Rate:</strong> DOE\r\n\r\n<strong>Contact:</strong>\r\n\r\nVolt Technical Resources\r\nSanDiego023199@volt.com\r\nVolt Workforce Solutions\r\n7490 Opportunity Rd.  Ste. 303\r\nSan Diego, CA 92111\r\nPH: 858/279-5801\r\nFX: 858/560-9735	San Diego	CA	US	92123	2012-04-04 08:02:49.893	2012-05-03 23:59:59
1092900	1	Business Analyst	<hr>\r<p align="center"><strong>Business Analyst</p>\r</strong>\r<hr>\r<p style="text-align: center" align="left"><b><span>Job Summary</span></b> </p>\r<p><span>Serves as a liaison between the business community and the IS organization in order to provide technical solutions to meet user needs.  Possesses expertise in the business unit(s) they support, as well as, an understanding of the IS organization’s systems and capabilities.  Possesses an understanding of technological trends and uses this knowledge to bring solutions to business units supported to enhance the enterprise’s competitive edge.  May make recommendations for buy versus build decision.  The Business Analyst works under the general direction of the VP of Applications.  </span></p>\r<div style="text-align: center" align="center"><span>\r<hr>\r</span>&nbsp;</div>\r<p style="text-align: center" align="center"><b><span>Knowledge, Skills, and Abilities</span></b></p>\r<p><b><span>Occupational Specific: </span></b><span>Strong business analysis and process engineering skills, Strong organizational analysis skills, Strong supply chain management and wholesale distribution knowledge. Strong problem solving and trouble shooting skills.  <b></b></span></p>\r<p><b></b>&nbsp;</p>\r<p><b><span>Personal & Professional: </span></b><span>Strong organization, project management, and people skills. Strong oral, written, and presentation skills. </span></p>\r<div style="text-align: center" align="center"><span>\r<hr>\r</span>&nbsp;</div>\r<p style="text-align: center" align="center"><b><span>Essential Duties and Responsibilities</span></b></p>\r<ul>\r    <li><span>Analyzes business partner’s operations to understand their strengths and weaknesses to determine opportunities to automate processes and functions.  </span></li>\r    <li><span>Assists in business process redesign and documentation as needed for new technology</span></li>\r    <li><span>Translates high level business requirements into functional specifications for the IS organization and manages changes to such specifications.  </span></li>\r    <li><span>Negotiates agreements and commitments by facilitating communications between business unit(s) and IS from initial requirements to final implementation.</span> </li>\r    <li><span>Educates the IS organization on the direction of the business</span></li>\r    <li><span>Meets scheduled milestones to ensure project/program objectives are met in a timely manner </span></li>\r</ul>\r<div style="text-align: center" align="center"><span>\r<hr>\r</span>&nbsp;</div>\r<p style="text-align: center" align="center"><b><span>Working Conditions</span></b></p>\r<p style="text-align: center" align="center"><span>Close vision, color vision, focus adjustment  Ability to lift 10 pounds</span></p>\r<p style="text-align: center" align="center"><span>Standard office equipment    Frequent walking and standing, sitting, listening and talking</span></p>\r<p style="text-align: center" align="center">&nbsp;</p>\r<p style="text-align: center" align="center"><span>Reasonable accommodations may be made to enable individuals with disabilities to perform the essential duties and functions of the job</span></p>	<hr>\r<p align="center"><strong>Business Analyst</p>\r</strong>\r<hr>\r<p style="text-align: center" align="center"><b><span>Education & Experience Requirements</span></b></p>\r<ul>\r    <li><span>Bachelor’s Degree in Computer Science, Information Systems, or related field</span></li>\r    <li><span>7+ years of IS and business work experience including managing team(s) in systems analysis and/or programming functions</span></li>\r</ul>\r<div style="text-align: center" align="center"><hr>&nbsp;</div>\r<p style="text-align: center" align="center"><b><i><span>If you feel you are qualified and would like to be considered, complete an internal application and submit to:</span></i></b><b> </b></p>\r<p style="text-align: center" align="center"><b><span>Contact Name: </span></b><span>Katie Cook </span><span>ß</span><b><span> Job Title: </span></b><span>HR Generalist</span><span>ß</span><b><span>Email Address: </span></b><span>talent@mrcpvf.com<br>\r <br>\r<b>Address: </b>8023 E 63<sup>rd</sup> Place Suite 800, Tulsa, OK  74133</span><span>ß</span><b><span>Phone: </span></b><span>918-461-5287</span><span>ß</span><b><span>Fax: </span></b><span>866-846-7729</span> </p>	Houston	TX	US		2012-03-20 12:45:16.793	2012-04-19 23:59:59
274232	1	Scheduling Manager	<p><span style=" line-height: 115%; ">If you are a personable, energetic individual with the ability to multitask, then we are looking for you.  Patriot Sunrooms and Home Solutions is one of the oldest and most trusted full service remodeling companies in the St. Louis metropolitan area.  <br />\r<br />\rWe are in need of a Scheduling Manager to help with setting and scheduling appointments for our Design Reps that our generated through our diversified marketing campaign.  If you are a disciplined, self-starter with the ability to be coached, then Patriot Sunrooms & Home Solutions has a home for you.  This is an excellent opportunity to build a career with an expanding company.</span></p>	<p><span style=" line-height: 115%; ">As the Scheduling Manger for Patriot Sunrooms & Home Solutions, you will be involved with scheduling appointments generated through TV, radio and print advertising.  Also, remarketing to our existing customer base through outbound calling.<br />\r<br />\r</span></p>\r<p><span style=" line-height: 115%; ">If you are looking for a company to grow with, this is your opportunity.<br />\r<br />\r</span></p>\r<p><span style=" line-height: 115%; ">Hours:</span></p>\r<p><span style=" line-height: 115%; ">Monday – Thursday 11:00 am – 8:00 pm</span></p>\r<p><span style=" line-height: 115%; ">Off Friday</span></p>\r<p><span style=" line-height: 115%; ">Saturday 9:00 am – 4:00 pm</span></p>\r<p><span style=" line-height: 115%; ">Off Sunday<br />\r<br />\r</span></p>\r<p><span style=" line-height: 115%; ">Pay:</span></p>\r<p><span style=" line-height: 115%; ">Annual Salary of $34,400, plus a generous bonus program. </span></p>	Saint Louis	MO	US		2012-04-05 16:01:55.207	2012-05-04 23:59:59
223403	1	Landscape Laborer	Millstadt area company seeking a FT landscape laborer to join the mowing crew.  Must have a valid driver's license and be drug free. <BR><BR>Source - Belleville News Democrat	Please refer to the Job Description to view the requirements for this job	Millstadt	IL	US	62260	2012-03-17 02:18:08.37	2012-04-16 23:59:59
453821	1	Expense Coordinator	St Louis Company is looking for an Expense Coordinator to come aboard in their Expense and Accounting Department and support the company's sales team and other departments with their expense reports and other accounting needs. \r\n\r\nRecent graduates with accounting or finance degree encouraged to apply, but will consider more experienced candidates equally. Relevant Bachelor's degree is REQUIRED.\r\n\r\nI. POSITION SUMMARY: \r\nThis position is responsible for auditing the salesforce expense reports to ensure policy compliance. This position services the salesforce in their expense reimbursements. This position is responsible for processing expense paperwork. \r\n\r\nII. PRIMARY JOB RESPONSIBILITIES: \r\n\r\n1. Audit sales force expense reports \r\n2. Communicate with the sales force both written and verbally regarding expense policy issues, promotional compliance guidelines and other expense related items \r\n3. Working knowledge of the SAP ECC module and FRXpense application, both mobile and portal versions. \r\n4. Working knowledge of the American Express corporate card program and how it applies to FRXpense. \r\n5. Assist in American Express reconciliations as time permits. \r\n6. Maintain sales management expense files. \r\nIII. ADDITIONAL JOB RESPONSIBILITIES: \r\n\r\n1. May serve on and coordinate various standing and ad hoc committees. \r\n2. May be assigned special projects as needed, by manager. \r\n\r\nIV. POSITION QUALIFICATIONS: \r\n\r\nEducation: \r\nBachelors degree in accounting, finance or business administration field. \r\n\r\nExperience: \r\n1+ years accounting, finance, and/or customer service experience. \r\n\r\nKnowledge, Skills, and Abilities \r\nStrong knowledge of Microsoft Word, Excel, and Outlook. Must possess the ability to understand and follow written policy. This person should understand the use of consumer credit cards, possess strong mathematical and analytical skills, and be detail oriented. This person should be able to perform routine office duties without referral to or direction from a supervisor. Should possess excellent communication skills and the ability to correspond comfortably and effectively both on the telephone and through written communication. Requires strong customer service skills including tact and consideration when dealing with the sales force. \r\n\r\nWhile performing the duties of this job, the employee is required to: \r\n1. Ability to travel to company locations \r\n2. Ability to operate a computer and/or various business machines \r\n3. Ability to file, sort, and retrieve documents from a multi-level filing cabinet. \r\n\r\nScope of Responsibility: \r\nLimited impact on the entire organization and limited impact within department. Remote freedom to act. Plans and coordinated projects as directed. Limited independent judgment and discretion when conflicts arise. Must check with manager when issues arise.		Ballwin	MO	US		2012-03-09 10:18:19.433	2012-04-08 23:59:59
1089717	1	3rd shift Data Entry Reps needed in St. Louis, MO!	<p style="text-align: justify"><span>We are working with one of our partner companies is seeking<b> Data Entry Representatives in St. Louis, MO. <strong><span>&nbsp; </span></strong></b>We are looking for individuals with dedication and administrative experience.&nbsp; <br>\r<br>\r</span></p>\r<p><b><span style="text-decoration: underline">Job Description:<br>\r<br>\r</span></b></p>\r<p><b><span>This is a Contract Job Only! <br>\r<br>\r</span></b></p>\r<p><b><span>Good way to earn some extra money! <br>\r<br>\r</span></b></p>\r<p><b><span>Work Schedule:<br>\r<br>\r</span></b></p>\r<p><span>Monday &ndash; Sunday (Must be able to work up to 7 days a week if needed)</span></p>\r<p><span>Shifts: </span></p>\r<p><span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</span><span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 3<sup>rd</sup>: 12:30am &ndash; 7:30am <b>($10.00hr)<br>\r<br>\r</p>\r<p><b><span>Responsibilities will include:</span></b></p>\r<ul>\r    <li><span>Works in a positive, team-oriented and structured environment </span>\r    <li><span>Provides data entry and verification support to a task, project, contract, or division by operating data entry equipment to code, format, and transcribe data from a source document </span>\r    <li><span>May enter data into formatted or unformatted screens and or documents </span>\r    <li><span>Verifies work to ensure accuracy and completeness.</span> </li>\r</ul>\r</b></span>	<p><b><span>Qualifications will include:</span></b> </p>\r<ul>\r    <li><span>Ability to type at least 8,000 KSPH </span>\r    <li><span>Data entry experience preferred </span>\r    <li><span>Ability to receive bonuses based upon how fast you key in the data along with good attendance and accuracy &nbsp;</span>\r    <li><span>Excellent Attendance</span>\r    <li><span>Attention to detail and excellent organizational skills </span></li>\r</ul>\r<p><b><span>How to apply:</span></b></p>\r<p>&nbsp;</p>\r<p><span>If you feel as though you have what it takes and are up for the challenge do not hesitate to apply. </span></p>\r<p>&nbsp;</p>\r<p><span>PLEASE PROVIDE JOB TITLE AND CITY IN THE SUBJECT LINE! </span></p>\r<br>	Saint Louis	MO	US		2012-03-14 14:13:04.567	2012-04-13 23:59:59
819909	1	ENTRY LEVEL POSITIONS OPEN! NEW OFFICES-HIRING IMMEDIATELY!	<p><span> </span></p>\r<p style="text-align: center;" align="center"><span><strong>ENTRY LEVEL REPRESENTATIVES-NEW POSITIONS OPEN<br />\r</strong>HIRING ADVERTISING / RETAIL / PUBLIC RELATIONS / MARKETING </span></p>\r<div style="text-align: center;" align="center"><b><span><hr>\r</span></b></div>\r<p style="text-align: center;" align="center"><b> </b></p>\r<p style="text-align: center;" align="center"><b><span>Renewed </span></b><span>is one of the fastest and most successful marketing and advertising firms in the <b>Sacramento area</b> and we are currently going through a nationwide expansion. <br />\r<br />\rWe are hiring <strong>entry level and experienced </strong> public relation, marketing, and retail representatives. Our firm provides <b>exceptional customer service </b>and continually develops new marketing campaigns for our high profile clients that deal with mainly the <b>beauty/cosmetics, health/wellness, gourmet food, & household </b>industries. <br />\r<br />\r<br />\r<b>RENEWED HAS OPENED UP NEW OFFICES WITHIN THIS LAST MONTH AND WE ARE LOOKING FOR BOTH ENTRY LEVEL AND EXPERIENECD REPRESENTATIVES TO GET STARTED WITH OUR FIRM. </b></span></p>\r<p style="text-align: center;" align="center"><strong></strong></p>\r<p style="text-align: center;" align="center"><strong><span>We </span></strong><span>offer <strong><span>Full Time and Part Time </span></strong>positions and we offer <strong><span>Full Paid One on One Training. <br />\r<br />\r</span></strong>It is our goal to find entry level candidates that enjoy a fast paced environment and face to face retail interaction so that we can train them to become one of the best. <br />\r</span></p>\r<strong></strong>	<p></p>\r<p style="text-align: center;" align="center"><b><span>Renewed offers <strong><span>Full Time and Part Time </span></strong>positions and we offer <strong><span>Full Paid One on One Training. </span></strong>We pride our business on the employees that we have and their ability to use <strong><span>excellent customer relations</span></strong> to catapult our business to the top.</span></b></p>\r<div style="text-align: center;" align="center"><span><hr>\r</span></div>\r<p></p>\r<p><strong><span>Experience is not necessary but any background in the following is a huge plus:</span></strong><span><br />\r<br />\r</span></p>\r<ul>\r    <li>Retail\r    <li>Sales\r    <li>Restaurant\r    <li>Marketing\r    <li>Advertising\r    <li>Public Relations\r    <li>Management\r    <li>Shift Lead or Team Lead </li>\r</ul>\r<div style="text-align: center;" align="center"><span><hr>\r</span></div>\r<br />\r<br />\r<p style="text-align: center;" align="center"><strong><span>APPLY TODAY TO SECURE A ONE ON ONE INTERVIEW-</span></strong><b><span><br />\r</span></b><span><a href="mailto:renewed.hr@gmail.com">renewed.hr@gmail.com</a> <br />\r<br />\r<br />\r<br />\rAlso Check out Our Website:<br />\r<br />\r</span><span><a href="http://www.RenewedIncOnline.com">www.RenewedIncOnline.com</a> <br />\r<br />\r</span><span>And Our Facebook:<br />\r<br />\r<a href="http://www.Facebook.com/RenewedMI">www.Facebook.com/RenewedMI</a> </span></p>	Sacramento	CA	US		2012-03-10 01:02:27.64	2012-04-09 23:59:59
