UserID,WindowID,State,DegreeType,Major,WorkHistoryCount,TotalYearsExperience,CurrentlyEmployed,ManagedOthers,ManagedHowMany
767,1,0,2,17,5,16,2,0,0
769,1,17,2,18,5,5,0,0,0
861,1,17,0,19,7,21,1,0,0
1006,1,12,0,2,3,6,0,0,0
1192,1,11,2,8,5,6,0,0,0
2003,1,28,0,0,3,5,2,0,0
2011,1,22,0,35,1,4,2,1,30
2241,1,0,3,39,4,8,1,0,0
2272,1,17,3,0,2,13,0,0,0
2652,1,0,0,2,3,21,2,1,3
2739,1,7,0,2,4,9,2,0,0
2750,1,33,0,2,2,6,0,0,0
2848,1,4,2,48,3,10,1,0,0
3699,1,1,3,63,4,5,0,1,5
3763,1,10,0,2,4,5,0,0,0
4188,1,16,2,71,9,6,0,0,0
4368,1,18,0,2,5,45,2,0,0
4639,1,9,3,79,5,13,2,0,0
4647,1,2,3,15,4,10,0,1,40
4724,1,18,2,81,1,10,1,0,0
4877,1,17,3,84,4,26,0,0,0
5771,1,4,4,105,6,10,0,0,0
6866,1,20,6,0,7,23,0,0,0
7587,1,15,4,137,10,14,0,1,20
7685,1,11,2,139,10,6,2,0,0
8026,1,0,3,150,3,0,0,0,0
8189,1,2,2,51,4,6,2,0,0
8715,1,12,3,158,7,7,2,0,0
8845,1,44,2,134,2,5,0,1,3
8899,1,17,2,10,3,4,2,0,0
9280,1,9,4,45,4,7,0,1,15
9436,1,9,3,0,9,27,0,0,0
10718,1,17,0,2,1,7,0,1,20
10724,1,47,2,0,3,5,0,1,7
11447,1,5,0,194,2,3,2,0,0
11739,1,16,2,21,10,20,2,0,0
12265,1,17,1,88,4,5,0,0,0
12813,1,0,4,21,3,36,0,0,0
12885,1,9,3,0,2,14,1,0,0
12941,1,22,2,221,1,0,0,0,0
13742,1,10,2,227,2,4,2,0,0
13853,1,14,3,0,5,9,2,0,0
13931,1,14,2,230,6,12,2,0,0
14519,1,33,2,235,7,14,0,0,0
14548,1,16,3,236,5,5,2,0,0
14888,1,2,3,244,2,3,0,0,0
15169,1,18,6,0,6,19,0,0,0
15847,1,4,0,262,7,41,2,0,0
16276,1,16,2,15,2,4,2,0,0
16844,1,2,2,272,3,6,0,0,0
17328,1,13,3,276,3,13,0,0,0
17669,1,15,3,0,5,29,0,1,7
18206,1,7,1,290,6,7,0,1,5
18647,1,9,1,8,5,16,0,1,350
18817,1,18,3,301,2,5,2,0,0
18950,1,9,3,0,2,5,1,0,0
19705,1,19,0,2,3,4,0,0,0
20360,1,17,3,0,4,4,2,0,0
21176,1,12,0,2,2,2,2,0,0
21247,1,4,4,331,8,20,0,1,20
21381,1,8,2,333,4,7,0,1,120
23680,1,1,1,351,3,10,2,0,0
23692,1,25,3,0,5,4,2,0,0
23713,1,9,0,2,2,5,0,1,25
23918,1,19,0,2,4,8,0,0,0
24010,1,11,0,2,4,32,2,0,0
24566,1,4,3,368,5,8,0,0,0
24760,1,29,0,2,2,4,0,0,0
25054,1,27,3,374,6,17,1,0,0
25269,1,10,2,8,5,12,2,1,25
25362,1,4,3,0,5,17,0,0,0
25429,1,4,1,379,1,2,2,0,0
25433,1,39,0,380,7,6,1,0,0
26030,1,28,3,0,2,7,0,1,10
26275,1,9,0,2,3,7,2,1,5
26308,1,9,0,2,4,8,2,1,15
26504,1,2,2,68,0,,2,0,0
26784,1,0,4,397,5,8,2,0,0
27019,1,16,3,0,3,6,2,0,0
28289,1,22,3,59,3,3,2,1,5
28537,1,0,2,147,4,19,0,0,0
28597,1,2,4,420,3,6,1,0,0
28739,1,38,2,421,5,10,2,0,0
28751,1,15,2,422,4,5,0,0,0
29029,1,28,2,59,4,5,2,0,0
30725,1,0,0,133,4,7,0,0,0
31189,1,39,0,2,3,5,1,0,0
31243,1,2,4,457,4,12,2,0,0
31440,1,4,3,459,5,22,1,0,0
31856,1,0,1,462,6,7,0,0,0
32653,1,4,0,2,2,5,2,0,0
32663,1,37,0,2,0,,2,0,0
